ITEM,NOMBRE
CS3560134,SERV FACHADA DISTRIBUIDORES 5% RT4%
CS3560133,COMP FACHADA DISTRIB 5% RT2.5%
CS3560132,SERV FACHADA DISTRIBUIDORES 19% RT4%
CS3560131,HONOR FACHADA DISTRIBUIDORES 19% RT11%
CS356013,COMP FACHADA DISTRIBUIDORES 19% RT2.5%
CS3560127,SERV VALLAS PUBLICITARIAS SIN IVA RT4%
CS3560125,COMP VALLAS PUBLICITARIAS SIN IVA RT2.5%
CS3560124,SERV VALLAS PUBLICITARIAS 5% RT4%
CS3560123,COMP VALLAS PUBLICIT 5% RT2.5%
CS3560122,SERV VALLAS PUBLICITARIAS 19% RT4%
CS3560121,HONOR VALLAS PUBLICITARIAS 19% RT11%
CS356012,COMP VALLAS PUBLICITARIAS 19% RT2.5%
CS3560117,SERV REGIST Y PAPEL PROM SIN IVA RT4%
CS3560115,COMP REGIST Y PAPEL PROM SIN IVA RT2.5%
CS3560114,SERV REGIST Y PAPEL PROM 5% RT4%
CS3560113,COMP REGIST Y PAP PROM 5% RT2.5%
CS3560112,SERV REGISTROS Y PAPEL PROMOC 19% RT4%
CS3560111,HONOR REGIST Y PAP PROMOC 19% RT11%
CS356011,COMP REGISTROS Y PAP PROMOC 19% RT2.5%
CS3560107,SERV CONVENCION VENTAS SIN IVA RT4%
CS3560105,COMP CONVENCION VENTAS SIN IVA RT2.5%
CS3560104,SERV CONVENCION VENTAS 5% RT4%
CS3560103,COMP CONVENCION VENTAS 5% RT2.5%
CS3560102,SERV CONVENCION VENTAS  19% RT4%
CS3560101,HONOR CONVENCION VENTAS 19% RT11%
CS356010,COMP CONVENCION VENTAS 19% RT2.5%
CS3560097,SERV REGA ATENC CLIENT SIN IVA RT4%
CS3560095,COMP REGA ATENC CLIENT SIN IVA RT2.5%
CS3560094,SERV REGA ATENC CLIENT 5% RT4%
CS3560093,COMP REGA ATENC CLIENT 5% RT2.5%
CS3560092,SERV REGA ATENC CLIENT 19% RT4%
CS3560091,HONOR REGA ATENC CLIENT 19% RT11%
CS356009,COMP REGA ATENC CLIENT 19% RT2.5%
CS3560087,SERV ARTIC PROMOCIONAL SIN IVA RT4%
CS3560085,COMP ARTIC PROMOCIONAL SIN IVA RT2.5%
CS3560084,SERV ARTIC PROMOCIONAL 5% RT4%
CS3560083,COMP ARTIC PROMOCIONAL 5% RT2.5%
CS3560082,SERV ARTIC PROMOCIONAL 19% RT4%
CS3560081,HONOR ARTIC PROMOCIONAL 19% RT11%
CS356008,COMP ARTIC PROMOCIONAL 19% RT2.5%
CS3560059,ARREND EQUIP FERIAS Y EVENTOS 19% RT4%
CS3560058,SERV FERIA Y EVENTO SIN IVA RT3.5% ICO8%
CS3560057,SERV FERIA Y EVENTO SIN IVA RT4%
CS3560055,COMP FERIA Y EVENTO SIN IVA RT2.5%
CS3560054,SERV FERIA Y EVENTO 5% RT4%
CS3560053,COMP FERIA Y EVENTO 5% RT2.5%
CS3560052,SERV FERIA Y EVENTO 19% RT4%
CS3560051,HONOR FERIA Y EVENTO 19% RT11%
CS356005,COMP FERIA Y EVENTO 19% RT2.5%
CS3560047,SERV PREMIOS Y CONCURSOS SIN IVA RT4%
CS3560045,COMP PREMIOS Y CONCURSOS SIN IVA RT2.5%
CS3560044,SERV PREMIOS Y CONCURSOS 5% RT4%
CS3560043,COMP PREMIOS Y CONCURSOS 5% RT2.5%
CS3560042,SERV PREMIOS Y CONCURSOS 19% RT4%
CS3560041,HONOR PREMIOS Y CONCURSOS 19% RT11%
CS3560040,COMP PREMIOS Y CONCURSOS 19% RT2.5%
CS356004,SERV PUBLIC PROP Y PROMOC SIN IVA RT4%
CS356003,SERV PUBLIC PROP Y PROMOC 19% RT4%
CS356002,HONOR PUBLIC PROP Y PROMOC 19% RT11%
CS3560012,COMP PUBLIC PROP Y PROMOC 5% RT2.5%
CS3560011,COMP PUBLIC PROP Y PROMOC SIN IVA RT2.5%
CS356001,COMP PUBLIC PROP Y PROMOC 19% RT2.5%
CS355501,SERV GAS SIN IVA RT0%
CS355002,SERV FLETES INTERNOS SIN IVA RF1%
CS3550013,SERV MOVIMIENTO MONTACARGA SIN IVA RT4%
CS3550012,SERV MOVIMIENTO MONTACARGA 19% RT4%
CS3550011,SERV TRANSP FLETES ACARREOS 19% RT3.5%
CS355001,"SERV TRANSP,FLETES/ACARREOSSIN IVA RT1%"
CS354001,"SERV CORREO, PORTES Y TELEG SIN IVA RT0%"
CS3535013,COMPR GTOS TELEFONO SIN IVA RT0%
CS3535012,COMP GASTO TELEFONO 19% RT0%
CS3535011,SERVICIO TELEFONO SIN IVA RT0%
CS353501,SERV TELEFONO 19% RT0%
CS353001,SERV ENERGIA ELECTRICA SIN IVA RT0%
CS352501,SERV ACUEDUCTO Y ALCANT SIN IVA RT0%
CS352001,SERV PROC ELECTRON DATOS SIN IVA RT4%
CS351504,HONOR ANALISIS LABORATORIO 19% RT11%
